taxonname,taxonomicclass,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Hepialus fusconebulosa,Insecta,Hepialus fusconebulosus,hepialus fusconebulosa,Hepialus fusconebulosus,FALSE,1,582566,TRUE,NA,1
Hepialus lupulinus,Insecta,Hepialus lupulina,hepialus lupulinus,Hepialus lupulina,TRUE,0.882352948,3243921,FALSE,NA,1
Agrotis vestigialis,Insecta,Agrotis vestigialis,agrotis vestigialis,Agrotis vestigialis,FALSE,1,485182,FALSE,NA,1
Lycophotia porphyrea,Insecta,Lycophotia porphyrea,lycophotia porphyrea,Lycophotia porphyrea,FALSE,1,683541,FALSE,sibling_higher,1
Hepialus hecta,Insecta,Hepialus hecta,hepialus hecta,Hepialus hecta,FALSE,1,7702472,FALSE,NA,1
Agrotis clavis,Insecta,Agrotis clavis,agrotis clavis,Agrotis clavis,FALSE,1,210000,FALSE,NA,1
Spaelotis ravida,Insecta,Spaelotis ravida,spaelotis ravida,Spaelotis ravida,FALSE,1,334298,FALSE,NA,1
Euxoa nigricans,Insecta,Euxoa nigricans,euxoa nigricans,Euxoa nigricans,FALSE,1,785806,FALSE,sibling_higher,1
Agrotis puta,Insecta,Agrotis puta,agrotis puta,Agrotis puta,FALSE,1,3205956,FALSE,NA,1
Graphiphora augur,Insecta,Graphiphora augur,graphiphora augur,Graphiphora augur,FALSE,1,687320,FALSE,NA,1
Euxoa tritici,Insecta,Euxoa tritici,euxoa tritici,Euxoa tritici,FALSE,1,3207126,FALSE,sibling_higher,1
Diarsia brunnea,Insecta,Diarsia brunnea,diarsia brunnea,Diarsia brunnea,FALSE,1,211598,FALSE,NA,1
Agrotis segetum,Insecta,Agrotis segetum,agrotis segetum,Agrotis segetum,FALSE,1,12008,FALSE,NA,1
Agrotis ipsilon,Insecta,Agrotis ipsilon,agrotis ipsilon,Agrotis ipsilon,FALSE,1,1084707,FALSE,NA,1
Diarsia mendica,Insecta,Diarsia mendica,diarsia mendica,Diarsia mendica,FALSE,1,211596,FALSE,NA,1
Diarsia dahill,Insecta,Diarsia dahlii,diarsia dahill,Diarsia dahlii,TRUE,0.785714269,3207945,FALSE,NA,1
Xestia castanea,Insecta,Xestia castanea,xestia castanea,Xestia castanea,FALSE,1,572331,FALSE,sibling_higher,1
Xestia triangulum,Insecta,Xestia triangulum,xestia triangulum,Xestia triangulum,FALSE,1,572341,FALSE,sibling_higher,1
Diarsia rubi,Insecta,Diarsia rubi,diarsia rubi,Diarsia rubi,FALSE,1,211594,FALSE,NA,1
Xestia baja,Insecta,Xestia baja,xestia baja,Xestia baja,FALSE,1,572333,FALSE,sibling_higher,1
Xestia sexstrigata,Insecta,Xestia sexstrigata,xestia sexstrigata,Xestia sexstrigata,FALSE,1,334303,FALSE,sibling_higher,1
Ochropleura plecta,Insecta,Ochropleura plecta,ochropleura plecta,Ochropleura plecta,FALSE,1,197535,FALSE,NA,1
Eugnorisma depuncta,Insecta,Eugnorisma depuncta,eugnorisma depuncta,Eugnorisma depuncta,FALSE,1,80652,FALSE,NA,1
Xestia xanthographa,Insecta,Xestia xanthographa,xestia xanthographa,Xestia xanthographa,FALSE,1,572339,FALSE,sibling_higher,1
Xestia agathina,Insecta,Xestia agathina,xestia agathina,Xestia agathina,FALSE,1,3207788,FALSE,sibling_higher,1
Xestia c-nigrum,Insecta,Xestia c-nigrum,xestia c-nigrum,Xestia c-nigrum,FALSE,1,535234,FALSE,sibling_higher,1
Axylia putris,Insecta,Axylia putris,axylia putris,Axylia putris,FALSE,1,1098934,FALSE,NA,1
Paradiarsia glareosa,Insecta,Paradiarsia glareosa,paradiarsia glareosa,Paradiarsia glareosa,FALSE,1,3206448,FALSE,NA,1
Xestia ditrapezium,Insecta,Xestia ditrapezium,xestia ditrapezium,Xestia ditrapezium,FALSE,1,572337,FALSE,sibling_higher,1
Anaplectoides prasina,Insecta,Anaplectoides prasina,anaplectoides prasina,Anaplectoides prasina,FALSE,1,33068,FALSE,NA,1
Cerastis rubricosa,Insecta,Cerastis rubricosa,cerastis rubricosa,Cerastis rubricosa,FALSE,1,880788,FALSE,sibling_higher,1
Noctua pronuba,Insecta,Noctua pronuba,noctua pronuba,Noctua pronuba,FALSE,1,1089514,FALSE,NA,1
Polia nebulosa,Insecta,Polia nebulosa,polia nebulosa,Polia nebulosa,FALSE,1,624597,FALSE,NA,1
Naenia typica,Insecta,Naenia typica,naenia typica,Naenia typica,FALSE,1,132868,FALSE,NA,1
Noctua fimbrista,Insecta,Noctua fimbriata,noctua fimbrista,Noctua fimbriata,TRUE,0.9375,161679,FALSE,NA,3
Lacanobia oleracea,Insecta,Lacanobia oleracea,lacanobia oleracea,Lacanobia oleracea,FALSE,1,310075,FALSE,NA,1
Noctua comes,Insecta,Noctua comes,noctua comes,Noctua comes,FALSE,1,1039545,FALSE,NA,1
Mamestra brassicae,Insecta,Mamestra brassicae,mamestra brassicae,Mamestra brassicae,FALSE,1,111041,FALSE,NA,1
Ceramica pisi,Insecta,Ceramica pisi,ceramica pisi,Ceramica pisi,FALSE,1,880778,FALSE,NA,1
Noctua janthina,Insecta,Noctua janthina,noctua janthina,Noctua janthina,FALSE,1,1039537,FALSE,NA,1
Melanchra persicariae,Insecta,Melanchra persicariae,melanchra persicariae,Melanchra persicariae,FALSE,1,683535,FALSE,NA,1
Hada nana,Insecta,Hada plebeja,hada nana,Hada plebeja,FALSE,1,160261,TRUE,NA,1
Noctua interjecta Caliginosa,Insecta,Noctua interjecta,noctua interjecta,Noctua interjecta,FALSE,1,1039547,FALSE,NA,1
Polia bombycina,Insecta,Polia bombycina,polia bombycina,Polia bombycina,FALSE,1,624601,FALSE,NA,1
Dicestra trifolii,Insecta,Anarta trifolii,dicestra trifolii,Anarta trifolii,TRUE,0.944444418,384126,FALSE,sibling_higher,1
Lacanobia suasa,Insecta,Lacanobia suasa,lacanobia suasa,Lacanobia suasa,FALSE,1,109322,FALSE,NA,1
Hadena bicruris,Insecta,Hadena bicruris,hadena bicruris,Hadena bicruris,FALSE,1,160265,FALSE,NA,1
Cerapteryx graminis,Insecta,Cerapteryx graminis,cerapteryx graminis,Cerapteryx graminis,FALSE,1,105723,FALSE,NA,1
Lacanobia thalassina,Insecta,Lacanobia thalassina,lacanobia thalassina,Lacanobia thalassina,FALSE,1,109320,FALSE,NA,1
Hadena rivularis,Insecta,Sideridis rivularis,hadena rivularis,Sideridis rivularis,FALSE,1,102837,TRUE,NA,1
Orthosia gothica,Insecta,Orthosia gothica,orthosia gothica,Orthosia gothica,FALSE,1,1030858,FALSE,NA,1
Papestra biren,Insecta,Papestra biren,papestra biren,Papestra biren,FALSE,1,153654,FALSE,NA,1
Hadena perplexa perplexa,Insecta,Hadena perplexa,hadena perplexa,Hadena perplexa,FALSE,1,735061,FALSE,NA,1
Orthosia miniosa,Insecta,Orthosia miniosa,orthosia miniosa,Orthosia miniosa,FALSE,1,153656,FALSE,NA,1
Hecarata bicolorata,Insecta,Hecatera bicolorata,hecarata bicolorata,Hecatera bicolorata,TRUE,0.842105269,707352,FALSE,NA,4
Tholera decimalis,Insecta,Tholera decimalis,tholera decimalis,Tholera decimalis,FALSE,1,572323,FALSE,NA,1
Orthosia cruda,Insecta,Orthosia cruda,orthosia cruda,Orthosia cruda,FALSE,1,153660,FALSE,NA,1
Hedena confusa,Insecta,Hadena confusa,hedena confusa,Hadena confusa,TRUE,0.928571403,735059,FALSE,NA,7
Tholera cespitis,Insecta,Tholera cespitis,tholera cespitis,Tholera cespitis,FALSE,1,572325,FALSE,NA,1
Orthosia stabillis,Insecta,Orthosia stabilis,orthosia stabillis,Orthosia stabilis,TRUE,0.941176474,43170,FALSE,NA,2
Orthosia populeti,Insecta,Orthosia populeti,orthosia populeti,Orthosia populeti,FALSE,1,153652,FALSE,NA,1
Mythimna pallens,Insecta,Mythimna pallens,mythimna pallens,Mythimna pallens,FALSE,1,462588,FALSE,NA,1
Stilbia anomala,Insecta,Stilbia anomala,stilbia anomala,Stilbia anomala,FALSE,1,4257248,FALSE,NA,1
Orthosia incerta,Insecta,Orthosia incerta,orthosia incerta,Orthosia incerta,FALSE,1,153662,FALSE,NA,1
Mythimna impura,Insecta,Mythimna impura,mythimna impura,Mythimna impura,FALSE,1,462582,FALSE,NA,1
Rhizedra lutosa,Insecta,Rhizedra lutosa,rhizedra lutosa,Rhizedra lutosa,FALSE,1,1093020,FALSE,NA,1
Orthosia munda,Insecta,Orthosia munda,orthosia munda,Orthosia munda,FALSE,1,7716314,FALSE,NA,1
Mythimna comma,Insecta,Leucania comma,mythimna comma,Leucania comma,FALSE,1,647372,TRUE,NA,1
Photedes pygmina,Insecta,Photedes pygmina,photedes pygmina,Photedes pygmina,FALSE,1,7716642,FALSE,NA,1
Orthosia gracilis,Insecta,Orthosia gracilis,orthosia gracilis,Orthosia gracilis,FALSE,1,334328,FALSE,NA,1
Mythimna ferrago,Insecta,Mythimna ferrago,mythimna ferrago,Mythimna ferrago,FALSE,1,334313,FALSE,NA,1
Charanyca trigrammica,Insecta,Charanyca trigrammica,charanyca trigrammica,Charanyca trigrammica,FALSE,1,262510,FALSE,sibling_higher,1
Mythimna conigera,Insecta,Mythimna conigera,mythimna conigera,Mythimna conigera,FALSE,1,462584,FALSE,NA,1
Caradrina morpheus,Insecta,Caradrina morpheus,caradrina morpheus,Caradrina morpheus,FALSE,1,559230,FALSE,NA,1
Hoplodrina alsines,Insecta,Hoplodrina alsines,hoplodrina alsines,Hoplodrina alsines,FALSE,1,3210533,FALSE,NA,1
Apamea monoglypha,Insecta,Apamea monoglypha,apamea monoglypha,Apamea monoglypha,FALSE,1,50269,FALSE,sibling_higher,1
Apamea scolopacina,Insecta,Apamea scolopacina,apamea scolopacina,Apamea scolopacina,FALSE,1,36065,FALSE,sibling_higher,1
Hoplodrina blanda,Insecta,Hoplodrina blanda,hoplodrina blanda,Hoplodrina blanda,FALSE,1,735063,FALSE,NA,1
Apamea creneta,Insecta,Apamea crenata,apamea creneta,Apamea crenata,TRUE,0.928571403,804629,FALSE,sibling_higher,4
Mesapamea secalis,Insecta,Mesapamea secalis,mesapamea secalis,Mesapamea secalis,FALSE,1,707341,FALSE,NA,1
Hoplodrina ambigua,Insecta,Hoplodrina ambigua,hoplodrina ambigua,Hoplodrina ambigua,FALSE,1,325718,FALSE,NA,1
Apamea sordens,Insecta,Apamea sordens,apamea sordens,Apamea sordens,FALSE,1,366744,FALSE,sibling_higher,1
Apamea ophiogramma,Insecta,Apamea ophiogramma,apamea ophiogramma,Apamea ophiogramma,FALSE,1,776677,FALSE,sibling_higher,1
Caradrina clavipalpis,Insecta,Caradrina clavipalpis,caradrina clavipalpis,Caradrina clavipalpis,FALSE,1,400868,FALSE,NA,1
Apamea anceps,Insecta,Apamea anceps,apamea anceps,Apamea anceps,FALSE,1,209994,FALSE,sibling_higher,1
Enargia ypsillon,Insecta,Enargia ypsillon,enargia ypsillon,Enargia ypsillon,FALSE,1,7717284,FALSE,NA,1
Apamea lithoxylaea,Insecta,Apamea lithoxylaea,apamea lithoxylaea,Apamea lithoxylaea,FALSE,1,36070,FALSE,sibling_higher,1
Apamea remissa,Insecta,Apamea remissa,apamea remissa,Apamea remissa,FALSE,1,36061,FALSE,sibling_higher,1
Eremobia ochroleuca,Insecta,Eremobia ochroleuca,eremobia ochroleuca,Eremobia ochroleuca,FALSE,1,4265258,FALSE,NA,1
Oligia fasciuncula,Insecta,Oligia fasciuncula,oligia fasciuncula,Oligia fasciuncula,FALSE,1,3210410,FALSE,NA,1
Phlogophora meticulosa,Insecta,Phlogophora meticulosa,phlogophora meticulosa,Phlogophora meticulosa,FALSE,1,50267,FALSE,NA,1
Hydraecia micacea,Insecta,Hydraecia micacea,hydraecia micacea,Hydraecia micacea,FALSE,1,166349,FALSE,NA,1
Mesoligia literosa,Insecta,Mesoligia literosa,mesoligia literosa,Mesoligia literosa,FALSE,1,751996,FALSE,sibling_higher,1
Thalpophila matura,Insecta,Thalpophila matura,thalpophila matura,Thalpophila matura,FALSE,1,384115,FALSE,NA,1
Gortyna flavago,Insecta,Gortyna flavago,gortyna flavago,Gortyna flavago,FALSE,1,80666,FALSE,NA,1
Mesologia furuncula,Insecta,Mesoligia furuncula,mesologia furuncula,Mesoligia furuncula,TRUE,0.947368443,182910,FALSE,sibling_higher,4
Photedes minina,Insecta,Photedes minima,photedes minina,Photedes minima,TRUE,0.933333337,758003,FALSE,NA,4
Cosmia pyralina,Insecta,Cosmia pyralina,cosmia pyralina,Cosmia pyralina,FALSE,1,262476,FALSE,NA,1
Celaena hawthorthii,Insecta,Celaena haworthii,celaena hawthorthii,Celaena haworthii,TRUE,0.882352948,880775,FALSE,NA,1
Cosmia affinis,Insecta,Cosmia affinis,cosmia affinis,Cosmia affinis,FALSE,1,463802,FALSE,NA,1
Euplexia lucipara,Insecta,Euplexia lucipara,euplexia lucipara,Euplexia lucipara,FALSE,1,785816,FALSE,NA,1
Celsene leucostigme leucostigme,Insecta,Helotropha leucostigma,celsene leucostigme,Helotropha leucostigma,TRUE,0.842105269,1011420,FALSE,NA,2
Cosmia trapezina,Insecta,Cosmia trapezina,cosmia trapezina,Cosmia trapezina,FALSE,1,564244,FALSE,NA,1
Ipimorpha subtusa,Insecta,Ipimorpha subtusa,ipimorpha subtusa,Ipimorpha subtusa,FALSE,1,109312,FALSE,NA,1
Acronicta rumicis,Insecta,Acronicta rumicis,acronicta rumicis,Acronicta rumicis,FALSE,1,281071,FALSE,sibling_higher,1
Xylocampa areola,Insecta,Xylocampa areola,xylocampa areola,Xylocampa areola,FALSE,1,4249782,FALSE,NA,1
Amphipyra tragopagonis,Insecta,Amphipyra tragopoginis,amphipyra tragopagonis,Amphipyra tragopoginis,TRUE,0.954545438,891509,FALSE,NA,2
Craniophora ligustri,Insecta,Craniophora ligustri,craniophora ligustri,Craniophora ligustri,FALSE,1,203449,FALSE,NA,1
Brachionycha sphinx,Insecta,Asteroscopus sphinx,brachionycha sphinx,Asteroscopus sphinx,FALSE,1,521515,TRUE,NA,1
Rusina ferruginea,Insecta,Charanyca ferruginea,rusina ferruginea,Charanyca ferruginea,FALSE,1,434657,TRUE,sibling_higher,1
Cucullia umbratica,Insecta,Cucullia umbratica,cucullia umbratica,Cucullia umbratica,FALSE,1,230643,FALSE,sibling_higher,1
Brachylomia viminalis,Insecta,Brachylomia viminalis,brachylomia viminalis,Brachylomia viminalis,FALSE,1,880781,FALSE,NA,1
Cryphia domestica,Insecta,Cryphia domestica,cryphia domestica,Cryphia domestica,FALSE,1,837103,FALSE,NA,1
Lithophane ornitopus lactipennis,Insecta,Lithophane ornitopus,lithophane ornitopus,Lithophane ornitopus,FALSE,1,683553,FALSE,NA,1
Aporophyla lutulenta,Insecta,Aporophyla lutulenta,aporophyla lutulenta,Aporophyla lutulenta,FALSE,1,521529,FALSE,NA,1
Acronicta megacephala,Insecta,Acronicta megacephala,acronicta megacephala,Acronicta megacephala,FALSE,1,391248,FALSE,sibling_higher,1
Xylena vetusta,Insecta,Xylena vetusta,xylena vetusta,Xylena vetusta,FALSE,1,51557,FALSE,NA,1
Aporophila nigra,Insecta,Aporophyla nigra,aporophila nigra,Aporophyla nigra,TRUE,0.9375,521527,FALSE,NA,3
Allophyes oxyacanthae,Insecta,Allophyes oxyacanthae,allophyes oxyacanthae,Allophyes oxyacanthae,FALSE,1,51561,FALSE,NA,1
Dryobotodes eremita,Insecta,Dryobotodes eremita,dryobotodes eremita,Dryobotodes eremita,FALSE,1,654789,FALSE,NA,1
Agrochola lota,Insecta,Agrochola lota,agrochola lota,Agrochola lota,FALSE,1,916933,FALSE,sibling_higher,1
Dichonia aprilina,Insecta,Dichonia aprilina,dichonia aprilina,Dichonia aprilina,FALSE,1,654786,FALSE,NA,1
Polymixis flavicincta,Insecta,Polymixis flavicincta,polymixis flavicincta,Polymixis flavicincta,FALSE,1,3210067,FALSE,NA,1
Agrochola macilentus,Insecta,Agrochola macilenta,agrochola macilentus,Agrochola macilenta,TRUE,0.894736826,916937,FALSE,sibling_higher,1
Blepharita adusta,Insecta,Blepharita adusta,blepharita adusta,Blepharita adusta,FALSE,1,7717309,FALSE,NA,1
Antitype chi,Insecta,Antitype chi,antitype chi,Antitype chi,FALSE,1,521519,FALSE,NA,1
Agrochola circellaris,Insecta,Agrochola circellaris,agrochola circellaris,Agrochola circellaris,FALSE,1,391238,FALSE,sibling_higher,1
Eumichtis lichenea,Insecta,Eumichtis lichenea,eumichtis lichenea,Eumichtis lichenea,FALSE,1,4254158,FALSE,NA,1
Eupsilia transversa,Insecta,Eupsilia transversa,eupsilia transversa,Eupsilia transversa,FALSE,1,43167,FALSE,NA,1
Agrochola lychnidis,Insecta,Agrochola lychnidis,agrochola lychnidis,Agrochola lychnidis,FALSE,1,916931,FALSE,sibling_higher,1
Paratichtis suspecta,Insecta,Parastichtis suspecta,paratichtis suspecta,Parastichtis suspecta,TRUE,0.952380955,757998,FALSE,NA,1
Omphaloscelis lunosa,Insecta,Omphaloscelis lunosa,omphaloscelis lunosa,Omphaloscelis lunosa,FALSE,1,7150706,FALSE,NA,1
Agrochola helvolus,Insecta,Agrochola helvola,agrochola helvolus,Agrochola helvola,TRUE,0.882352948,391240,FALSE,sibling_higher,1
Agrochola litura,Insecta,Agrochola litura,agrochola litura,Agrochola litura,FALSE,1,391256,FALSE,sibling_higher,1
Xanthia icteritia,Insecta,Xanthia icteritia,xanthia icteritia,Xanthia icteritia,FALSE,1,535228,FALSE,NA,1
Atethmia centrago,Insecta,Atethmia centrago,atethmia centrago,Atethmia centrago,FALSE,1,1098937,FALSE,NA,1
Xanthia gilvago,Insecta,Xanthia gilvago,xanthia gilvago,Xanthia gilvago,FALSE,1,535245,FALSE,NA,1
Catocala nupta,Insecta,Catocala nupta,catocala nupta,Catocala nupta,FALSE,1,235031,FALSE,sibling_higher,1
Xanthia citrago,Insecta,Xanthia citrago,xanthia citrago,Xanthia citrago,FALSE,1,7717347,FALSE,NA,1
Conistra vaccinii,Insecta,Conistra vaccinii,conistra vaccinii,Conistra vaccinii,FALSE,1,850209,FALSE,NA,1
Colocasia coryli,Insecta,Colocasia coryli,colocasia coryli,Colocasia coryli,FALSE,1,262514,FALSE,NA,1
Xanthia aurago,Insecta,Xanthia aurago,xanthia aurago,Xanthia aurago,FALSE,1,7717346,FALSE,NA,1
Conistra liguia,Insecta,Conistra ligula,conistra liguia,Conistra ligula,TRUE,0.933333337,262494,FALSE,NA,3
Diloba caeruleocephala,Insecta,Diloba caeruleocephala,diloba caeruleocephala,Diloba caeruleocephala,FALSE,1,211592,FALSE,NA,1
Xanthia togata,Insecta,Xanthia togata,xanthia togata,Xanthia togata,FALSE,1,733494,FALSE,NA,1
Pseudoips fagana britannica,Insecta,Pseudoips prasinanus,pseudoips fagana,Pseudoips prasinanus,FALSE,1,270791,TRUE,NA,1
Polychrisia moneta,Insecta,Polychrysia moneta,polychrisia moneta,Polychrysia moneta,TRUE,0.944444418,4254994,FALSE,NA,1
Diachrysia chrysitis,Insecta,Diachrysia chrysitis,diachrysia chrysitis,Diachrysia chrysitis,FALSE,1,301813,FALSE,NA,1
Autographa gamma,Insecta,Autographa gamma,autographa gamma,Autographa gamma,FALSE,1,481258,FALSE,NA,1
Phytometra viridaria,Insecta,Phytometra viridaria,phytometra viridaria,Phytometra viridaria,FALSE,1,152397,FALSE,NA,1
Autographa bractea,Insecta,Autographa bractea,autographa bractea,Autographa bractea,FALSE,1,556889,FALSE,NA,1
Syngrapha interrogationis,Insecta,Syngrapha interrogationis,syngrapha interrogationis,Syngrapha interrogationis,FALSE,1,971697,FALSE,NA,1
Scoliopteryx libatrix,Insecta,Scoliopteryx libatrix,scoliopteryx libatrix,Scoliopteryx libatrix,FALSE,1,704072,FALSE,NA,1
Plusia festucae,Insecta,Plusia festucae,plusia festucae,Plusia festucae,FALSE,1,635001,FALSE,NA,1
Abrostola triplasia,Insecta,Abrostola triplasia,abrostola triplasia,Abrostola triplasia,FALSE,1,481264,FALSE,NA,1
Hypena crassalis,Insecta,Hypena crassalis,hypena crassalis,Hypena crassalis,FALSE,1,682084,FALSE,NA,1
Autographa jota,Insecta,Autographa jota,autographa jota,Autographa jota,FALSE,1,1004057,FALSE,NA,1
Lygephila pastinum,Insecta,Lygephila pastinum,lygephila pastinum,Lygephila pastinum,FALSE,1,9934,FALSE,NA,1
Herminia tarsipennalis,Insecta,Herminia tarsipennalis,herminia tarsipennalis,Herminia tarsipennalis,FALSE,1,960420,FALSE,NA,1
Autographa pulchrina,Insecta,Autographa pulchrina,autographa pulchrina,Autographa pulchrina,FALSE,1,556885,FALSE,NA,1
Rivula sericealis,Insecta,Rivula sericealis,rivula sericealis,Rivula sericealis,FALSE,1,110655,FALSE,NA,1
Laspeyria flexula,Insecta,Laspeyria flexula,laspeyria flexula,Laspeyria flexula,FALSE,1,726892,FALSE,NA,1
Hemithea aestivaria,Insecta,Hemithea aestivaria,hemithea aestivaria,Hemithea aestivaria,FALSE,1,296582,FALSE,NA,1
Cyclophora punctaria,Insecta,Cyclophora punctaria,cyclophora punctaria,Cyclophora punctaria,FALSE,1,126684,FALSE,NA,1
Alsophila aescularia,Insecta,Alsophila aescularia,alsophila aescularia,Alsophila aescularia,FALSE,1,53204,FALSE,NA,1
Chlorissa viridata,Insecta,Chlorissa viridata,chlorissa viridata,Chlorissa viridata,FALSE,1,212351,FALSE,NA,1
Cyclophora linearia,Insecta,Cyclophora linearia,cyclophora linearia,Cyclophora linearia,FALSE,1,584718,FALSE,NA,1
Pseudoterpna pruinata stropunotaria,Insecta,Pseudoterpna pruinata,pseudoterpna pruinata,Pseudoterpna pruinata,FALSE,1,134363,FALSE,NA,1
Jodis lactearia,Insecta,Jodis lactearia,jodis lactearia,Jodis lactearia,FALSE,1,689409,FALSE,NA,1
Scopula ternata,Insecta,Scopula ternata,scopula ternata,Scopula ternata,FALSE,1,978403,FALSE,sibling_higher,1
Geometra papilionaria,Insecta,Geometra papilionaria,geometra papilionaria,Geometra papilionaria,FALSE,1,788412,FALSE,NA,1
Timandra griseata,Insecta,Timandra griseata,timandra griseata,Timandra griseata,FALSE,1,353934,FALSE,NA,1
Scopula marginepunctata,Insecta,Scopula marginepunctata,scopula marginepunctata,Scopula marginepunctata,FALSE,1,353926,FALSE,sibling_higher,1
Comibaene bajularia,Insecta,Comibaena bajularia,comibaene bajularia,Comibaena bajularia,TRUE,0.947368443,212349,FALSE,sibling_higher,1
Cyclophora albipunctata,Insecta,Cyclophora albipunctata,cyclophora albipunctata,Cyclophora albipunctata,FALSE,1,540281,FALSE,NA,1
Scopula imitaria,Insecta,Scopula imitaria,scopula imitaria,Scopula imitaria,FALSE,1,878693,FALSE,sibling_higher,1
Scopula immutata,Insecta,Scopula immutata,scopula immutata,Scopula immutata,FALSE,1,978392,FALSE,sibling_higher,1
Idaes subsericeata,Insecta,Idaea subsericeata,idaes subsericeata,Idaea subsericeata,TRUE,0.944444418,3080094,FALSE,sibling_higher,2
Idaea emarginata,Insecta,Idaea emarginata,idaea emarginata,Idaea emarginata,FALSE,1,313349,FALSE,sibling_higher,1
Scopula floslactata,Insecta,Scopula floslactata,scopula floslactata,Scopula floslactata,FALSE,1,432440,FALSE,sibling_higher,1
Idaes straminata,Insecta,Idaea straminata,idaes straminata,Idaea straminata,TRUE,0.9375,846946,FALSE,sibling_higher,2
Xanthorhoe quadrifasiata,Insecta,Xanthorhoe quadrifasiata,xanthorhoe quadrifasiata,Xanthorhoe quadrifasiata,FALSE,1,3088465,FALSE,NA,1
Idaes fuscovenosa,Insecta,Idaea fuscovenosa,idaes fuscovenosa,Idaea fuscovenosa,TRUE,0.941176474,689413,FALSE,sibling_higher,1
Idaes aversata,Insecta,Idaea aversata,idaes aversata,Idaea aversata,TRUE,0.928571403,679096,FALSE,sibling_higher,3
Xanthorhoe munitata,Insecta,Xanthorhoe munitata,xanthorhoe munitata,Xanthorhoe munitata,FALSE,1,341590,FALSE,NA,1
Idaes dimidiata,Insecta,Idaea dimidiata,idaes dimidiata,Idaea dimidiata,TRUE,0.933333337,458537,FALSE,sibling_higher,3
Idaes trigeminata,Insecta,Idaea trigeminata,idaes trigeminata,Idaea trigeminata,TRUE,0.941176474,3080198,FALSE,sibling_higher,1
Xanthorhoe ferrugata,Insecta,Xanthorhoe ferrugata,xanthorhoe ferrugata,Xanthorhoe ferrugata,FALSE,1,353938,FALSE,NA,1
Idaes seriata,Insecta,Idaea seriata,idaes seriata,Idaea seriata,TRUE,0.923076928,878694,FALSE,sibling_higher,2
Idaes biselata,Insecta,Idaea biselata,idaes biselata,Idaea biselata,TRUE,0.928571403,846948,FALSE,sibling_higher,3
Xanthorhoe spadicearia,Insecta,Xanthorhoe spadicearia,xanthorhoe spadicearia,Xanthorhoe spadicearia,FALSE,1,136896,FALSE,NA,1
Xanthorhoe designata,Insecta,Xanthorhoe designata,xanthorhoe designata,Xanthorhoe designata,FALSE,1,136887,FALSE,NA,1
Coenotephria salicata latentaria,Insecta,Coenotephria salicata,coenotephria salicata,Coenotephria salicata,FALSE,1,710942,FALSE,NA,1
Mesoleuca albicillata,Insecta,Mesoleuca albicillata,mesoleuca albicillata,Mesoleuca albicillata,FALSE,1,1009183,FALSE,NA,1
Xanthorhoe montanata,Insecta,Xanthorhoe montanata,xanthorhoe montanata,Xanthorhoe montanata,FALSE,1,136883,FALSE,NA,1
Colostygia multistrigaria,Insecta,Colostygia multistrigaria,colostygia multistrigaria,Colostygia multistrigaria,FALSE,1,3086299,FALSE,NA,1
Entaphria caesiata,Insecta,Entephria caesiata,entaphria caesiata,Entephria caesiata,TRUE,0.944444418,584714,FALSE,NA,2
Xanthorhoe fluctuata,Insecta,Xanthorhoe fluctuata,xanthorhoe fluctuata,Xanthorhoe fluctuata,FALSE,1,136885,FALSE,NA,1
Perizoma didymata,Insecta,Perizoma didymatum,perizoma didymata,Perizoma didymatum,FALSE,1,125594,TRUE,sibling_higher,1
Perizoma blandiata,Insecta,Perizoma blandiata,perizoma blandiata,Perizoma blandiata,FALSE,1,3083359,FALSE,sibling_higher,1
Colostygia olivata,Insecta,Colostygia olivata,colostygia olivata,Colostygia olivata,FALSE,1,761576,FALSE,NA,1
Anticlea badiata,Insecta,Anticlea badiata,anticlea badiata,Anticlea badiata,FALSE,1,63675,FALSE,NA,2
Perizoma affinitata,Insecta,Perizoma affinitata,perizoma affinitata,Perizoma affinitata,FALSE,1,3083295,FALSE,sibling_higher,1
Colostygia pectinataria,Insecta,Colostygia pectinataria,colostygia pectinataria,Colostygia pectinataria,FALSE,1,761578,FALSE,NA,1
Anticlea derivata,Insecta,Anticlea derivata,anticlea derivata,Anticlea derivata,FALSE,1,63662,FALSE,NA,1
Perizoma flavofasciata,Insecta,Perizoma flavofasciata,perizoma flavofasciata,Perizoma flavofasciata,FALSE,1,3083323,FALSE,sibling_higher,1
Cosmorhoe ocellata,Insecta,Cosmorhoe ocellata,cosmorhoe ocellata,Cosmorhoe ocellata,FALSE,1,761583,FALSE,NA,1
Eulithis populata,Insecta,Eulithis populata,eulithis populata,Eulithis populata,FALSE,1,647225,FALSE,NA,1
Perizoma albulata,Insecta,Perizoma albulata,perizoma albulata,Perizoma albulata,FALSE,1,3083361,FALSE,sibling_higher,1
Lampropteyx suffumata,Insecta,Lampropteryx suffumata,lampropteyx suffumata,Lampropteryx suffumata,TRUE,0.954545438,238235,FALSE,NA,1
Eulithis mellinata,Insecta,Eulithis mellinata,eulithis mellinata,Eulithis mellinata,FALSE,1,3083837,FALSE,NA,1
Euphyia unangulata,Insecta,Euphyia unangulata,euphyia unangulata,Euphyia unangulata,FALSE,1,795927,FALSE,NA,1
